sim_id,gate,process,tempC,Vdd,Cload_fF,Rn_ohm,Rp_ohm,tau_f_s,tau_r_s,n_steps,dt_s
85,INV,SS,125,1.0,1000,1625.0,2437.5,1.6249999999999999e-09,2.4375e-09,2000,1e-09
86,NAND2,SS,85,1.1,300,1340.9090909090908,2011.3636363636363,4.0227272727272727e-10,6.034090909090909e-10,2000,1e-09
87,NAND2,SS,85,0.8,300,1843.75,2765.625,5.531250000000001e-10,8.296875000000001e-10,2000,1e-09
88,INV,SS,125,1.0,10,1625.0,2437.5,1.6250000000000002e-11,2.4375000000000003e-11,2000,1e-09
89,NOR2,SS,-40,0.8,1000,1257.8124999999998,1886.7187499999998,1.2578124999999998e-09,1.88671875e-09,2000,1e-09
90,INV,TT,125,1.1,10,1181.8181818181818,1772.7272727272727,1.1818181818181819e-11,1.7727272727272732e-11,2000,1e-09
91,INV,SS,125,0.8,30,2031.25,3046.875,6.093750000000002e-11,9.140625000000002e-11,2000,1e-09
92,NOR2,FF,-40,1.1,1000,585.4545454545454,878.181818181818,5.854545454545453e-10,8.78181818181818e-10,2000,1e-09
93,NOR2,FF,0,0.8,1000,925.0,1387.5,9.25e-10,1.3875e-09,2000,1e-09
94,NAND2,TT,-40,1.1,300,731.8181818181816,1097.7272727272727,2.195454545454545e-10,3.293181818181819e-10,2000,1e-09
95,INV,TT,-40,1.1,100,731.8181818181816,1097.7272727272727,7.318181818181817e-11,1.0977272727272728e-10,2000,1e-09
96,INV,SS,25,1.1,300,1136.3636363636363,1704.5454545454545,3.409090909090909e-10,5.113636363636364e-10,2000,1e-09
97,NAND2,FF,125,0.9,100,1155.5555555555557,1733.3333333333335,1.1555555555555557e-10,1.7333333333333336e-10,2000,1e-09
98,NOR2,SS,85,0.8,10,1843.75,2765.625,1.8437500000000004e-11,2.7656250000000005e-11,2000,1e-09
99,NOR2,FF,60,1.0,300,884.0,1326.0,2.652e-10,3.9780000000000006e-10,2000,1e-09
100,NOR2,FF,125,1.0,30,1040.0,1560.0,3.1200000000000006e-11,4.680000000000001e-11,2000,1e-09
101,NAND2,SS,125,1.1,1000,1477.2727272727273,2215.909090909091,1.4772727272727272e-09,2.215909090909091e-09,2000,1e-09
102,NAND2,TT,0,0.8,300,1156.25,1734.375,3.4687500000000006e-10,5.203125000000001e-10,2000,1e-09
103,NOR2,TT,125,0.9,10,1444.4444444444446,2166.666666666667,1.4444444444444447e-11,2.1666666666666673e-11,2000,1e-09
104,INV,TT,25,0.8,300,1250.0,1875.0,3.7500000000000005e-10,5.625000000000001e-10,2000,1e-09
105,NOR2,FF,60,0.8,1000,1105.0,1657.5,1.105e-09,1.6575e-09,2000,1e-09
106,NOR2,TT,0,1.1,300,840.9090909090909,1261.3636363636363,2.522727272727273e-10,3.784090909090909e-10,2000,1e-09
107,NOR2,SS,-40,0.9,100,1118.0555555555554,1677.0833333333333,1.1180555555555554e-10,1.6770833333333334e-10,2000,1e-09
108,INV,FF,0,1.1,100,672.7272727272727,1009.090909090909,6.727272727272727e-11,1.009090909090909e-10,2000,1e-09
109,NAND2,SS,85,0.8,100,1843.75,2765.625,1.84375e-10,2.765625e-10,2000,1e-09
110,INV,FF,-40,0.9,300,715.5555555555555,1073.3333333333333,2.1466666666666668e-10,3.22e-10,2000,1e-09
111,NOR2,FF,125,1.1,1000,945.4545454545454,1418.1818181818182,9.454545454545454e-10,1.4181818181818181e-09,2000,1e-09
112,NAND2,SS,125,1.0,30,1625.0,2437.5,4.8750000000000006e-11,7.3125e-11,2000,1e-09
113,NAND2,TT,85,1.1,10,1072.7272727272727,1609.090909090909,1.0727272727272729e-11,1.6090909090909092e-11,2000,1e-09
114,NAND2,SS,25,1.0,100,1250.0,1875.0,1.25e-10,1.875e-10,2000,1e-09
115,INV,SS,-40,1.0,30,1006.2499999999999,1509.3749999999998,3.01875e-11,4.528125e-11,2000,1e-09
116,NOR2,SS,85,0.8,10,1843.75,2765.625,1.8437500000000004e-11,2.7656250000000005e-11,2000,1e-09
117,INV,TT,125,0.8,100,1625.0,2437.5,1.625e-10,2.4375e-10,2000,1e-09
118,INV,FF,125,0.9,1000,1155.5555555555557,1733.3333333333335,1.1555555555555556e-09,1.7333333333333336e-09,2000,1e-09
119,NAND2,FF,125,0.8,100,1300.0,1950.0,1.3000000000000002e-10,1.95e-10,2000,1e-09
